trip_id,headway_secs,start_time,end_time
27091,1800,10800.0,21600.0
27099,2400,21600.0,36000.0
27135,3600,36000.0,54000.0
27170,1800,54000.0,68400.0
27211,2700,68400.0,10800.0
27093,3600,10800.0,21600.0
27097,3600,10800.0,21600.0
27100,4800,21600.0,36000.0
27107,3600,21600.0,36000.0
27140,3600,36000.0,54000.0
27171,4800,54000.0,68400.0
27179,3600,54000.0,68400.0
27212,5400,68400.0,10800.0
27104,3600,21600.0,36000.0
27137,3600,36000.0,54000.0
27175,3600,54000.0,68400.0
27215,10800,68400.0,10800.0
27106,3600,21600.0,36000.0
27139,3600,36000.0,54000.0
27177,3600,54000.0,68400.0
27217,10800,68400.0,10800.0
27094,1800,10800.0,21600.0
27101,2057,21600.0,36000.0
27136,3600,36000.0,54000.0
27173,1800,54000.0,68400.0
27213,3600,68400.0,10800.0
27134,14400,21600.0,36000.0
27141,3600,36000.0,54000.0
27178,14400,54000.0,68400.0
27096,3600,10800.0,21600.0
27105,3600,21600.0,36000.0
27138,3600,36000.0,54000.0
27176,3600,54000.0,68400.0
27216,10800,68400.0,10800.0
27102,4800,21600.0,36000.0
27174,2880,54000.0,68400.0
