arrival_time,departure_time,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius,last_stop_on_trip,trip_id,stop_id
0.0,0.0,1,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27091,16417
,,2,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16517
,,3,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16544
,,4,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16555
,,5,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16566
,,6,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16577
,,7,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16588
420.0,420.0,8,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27091,16599
,,9,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16535
,,10,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16610
,,11,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16418
,,12,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16429
,,13,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16440
780.0,780.0,14,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27091,16451
,,15,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16462
,,16,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16473
,,17,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16483
,,18,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16485
,,19,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16496
,,20,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16507
,,21,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16518
,,22,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16529
,,23,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16536
,,24,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16537
,,25,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16538
,,26,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16539
,,27,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16540
,,28,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16541
,,29,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16542
,,30,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16543
,,31,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16545
,,32,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16534
,,33,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16546
,,34,Dyer & UC Blvd,,,,,,,,,,,,,,,,27091,16547
1620.0,1620.0,35,UC BART,,,,1.0,,,,,,,,,,,,27091,16548
,,36,UC BART,,,,,,,,,,,,,,,,27091,16549
,,37,UC BART,,,,,,,,,,,,,,,,27091,16550
,,38,UC BART,,,,,,,,,,,,,,,,27091,16551
,,39,UC BART,,,,,,,,,,,,,,,,27091,16552
,,40,UC BART,,,,,,,,,,,,,,,,27091,16553
,,41,UC BART,,,,,,,,,,,,,,,,27091,16554
,,42,UC BART,,,,,,,,,,,,,,,,27091,16556
,,43,UC BART,,,,,,,,,,,,,,,,27091,16557
2100.0,2100.0,44,UC BART,,,,1.0,,,,,,,,,,,,27091,16451
,,45,UC BART,,,,,,,,,,,,,,,,27091,16558
,,46,UC BART,,,,,,,,,,,,,,,,27091,16559
,,47,UC BART,,,,,,,,,,,,,,,,27091,16560
,,48,UC BART,,,,,,,,,,,,,,,,27091,16561
,,49,UC BART,,,,,,,,,,,,,,,,27091,16562
2460.0,2460.0,50,UC BART,,,,1.0,,,,,,,,,,,,27091,16563
,,51,UC BART,,,,,,,,,,,,,,,,27091,16564
,,52,UC BART,,,,,,,,,,,,,,,,27091,16565
,,53,UC BART,,,,,,,,,,,,,,,,27091,16567
,,54,UC BART,,,,,,,,,,,,,,,,27091,16568
,,55,UC BART,,,,,,,,,,,,,,,,27091,16569
,,56,UC BART,,,,,,,,,,,,,,,,27091,16570
2820.0,2820.0,57,UC BART,,,,1.0,,,,,,,,,,,,27091,16417
0.0,0.0,1,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27099,16417
,,2,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16517
,,3,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16544
,,4,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16555
,,5,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16566
,,6,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16577
,,7,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16588
420.0,420.0,8,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27099,16599
,,9,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16535
,,10,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16610
,,11,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16418
,,12,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16429
,,13,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16440
780.0,780.0,14,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27099,16451
,,15,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16462
,,16,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16473
,,17,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16483
,,18,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16485
,,19,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16496
,,20,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16507
,,21,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16518
,,22,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16529
,,23,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16536
,,24,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16537
,,25,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16538
,,26,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16539
,,27,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16540
,,28,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16541
,,29,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16542
,,30,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16543
,,31,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16545
,,32,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16534
,,33,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16546
,,34,Dyer & UC Blvd,,,,,,,,,,,,,,,,27099,16547
1620.0,1620.0,35,UC BART,,,,1.0,,,,,,,,,,,,27099,16548
,,36,UC BART,,,,,,,,,,,,,,,,27099,16549
,,37,UC BART,,,,,,,,,,,,,,,,27099,16550
,,38,UC BART,,,,,,,,,,,,,,,,27099,16551
,,39,UC BART,,,,,,,,,,,,,,,,27099,16552
,,40,UC BART,,,,,,,,,,,,,,,,27099,16553
,,41,UC BART,,,,,,,,,,,,,,,,27099,16554
,,42,UC BART,,,,,,,,,,,,,,,,27099,16556
,,43,UC BART,,,,,,,,,,,,,,,,27099,16557
2100.0,2100.0,44,UC BART,,,,1.0,,,,,,,,,,,,27099,16451
,,45,UC BART,,,,,,,,,,,,,,,,27099,16558
,,46,UC BART,,,,,,,,,,,,,,,,27099,16559
,,47,UC BART,,,,,,,,,,,,,,,,27099,16560
,,48,UC BART,,,,,,,,,,,,,,,,27099,16561
,,49,UC BART,,,,,,,,,,,,,,,,27099,16562
2460.0,2460.0,50,UC BART,,,,1.0,,,,,,,,,,,,27099,16563
,,51,UC BART,,,,,,,,,,,,,,,,27099,16564
,,52,UC BART,,,,,,,,,,,,,,,,27099,16565
,,53,UC BART,,,,,,,,,,,,,,,,27099,16567
,,54,UC BART,,,,,,,,,,,,,,,,27099,16568
,,55,UC BART,,,,,,,,,,,,,,,,27099,16569
,,56,UC BART,,,,,,,,,,,,,,,,27099,16570
2820.0,2820.0,57,UC BART,,,,1.0,,,,,,,,,,,,27099,16417
0.0,0.0,1,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27135,16417
,,2,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16517
,,3,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16544
,,4,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16555
,,5,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16566
,,6,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16577
,,7,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16588
420.0,420.0,8,Dyer & UC Blvd,,,,1.0,,,,,,,,,,,,27135,16599
,,9,Dyer & UC Blvd,,,,,,,,,,,,,,,,27135,16535
