stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_code,platform_code,position,direction,stop_id,osm_node_id,shst_node_id,model_node_id
Union City BART Station,Terminal,37.590588,-122.017616,,,,,,1.0,79001,,,,16417,2535625281,7e825bed549edcb446cc660edcd1cba3,2520593
Union Square Mid-Block,Mid-Block,37.587308,-122.017098,,,,,,1.0,79002,,,,16517,3701343962,d8a5c14619198f299ce85ea87a1e5c09,2546477
Alvarado-Niles Rd & Decoto Rd,Nearside,37.587027,-122.020447,,,,,,1.0,79003,,,,16544,5484293815,36092522ef5c933b197fd2c175a22c33,2531720
Alvarado-Niles Rd & Meyers Dr,Far Side,37.58821500000001,-122.024424,,,,,,1.0,79004,,,,16555,1025895761,288aa31b6279382d74685d3cbe5ce595,2522097
Alvarado-Niles Rd & H St,Far Side,37.589285,-122.028333,,,,,,1.0,79005,,,,16566,1080084484,285cb1982e25b02282b36da97c70081e,2589694
Alvarado-Niles Rd & Hartnell St,Far Side,37.58988,-122.03043999999998,,,,,,1.0,79006,,,,16577,5492209585,f51be430522b21263ab8598b360230bb,2529210
Alvarado-Niles Rd & Western Ave,Far Side,37.591333,-122.035591,,,,,,1.0,79007,,,,16588,1676258681,59206ebf249dc1565fb0111824a95239,2588113
Alvarado-Niles Rd & Central Ave,Nearside,37.592257556999996,-122.039042936,,,,,,1.0,79008,,,,16599,53096863,cebdbbbf3f506a07e065522961956435,2597242
Alvarado-Niles Rd & Dowe St,Far Side,37.593579,-122.044221,,,,,,1.0,79009,,,,16610,4915660232,183b021714aefb2abd83f714e5c0d33b,2549376
Alvarado-Niles Rd & Hop Ranch Rd,Far Side,37.594574,-122.047632,,,,,,1.0,79010,,,,16418,53021500,a4cde62f9ee0b8cb3470f368a301167e,2560710
Alvarado-Niles Rd & Medallion Ave,Far Side,37.59572100000001,-122.05191200000002,,,,,,1.0,79011,,,,16429,53096846,22437bd3a60092d7a53861016b29a356,2574163
Alvarado-Niles Rd & Almaden Bl,Nearside,37.596525,-122.05473899999998,,,,,,1.0,79012,,,,16440,53096843,07873ad682b33523b6144c16c632781a,2562646
Union Landing Transit Center,Terminal,37.598792,-122.065656,,,,,,1.0,79013,,,,16451,5844458714,72580848e067c46abc7473402e57718b,2574040
Dyer St & San Carlos Ave,Far Side,37.59583,-122.07081200000002,,,,,,1.0,79014,,,,16462,349923421,0c18850dc01367820b5fea2952bda462,2507297
