AADT_wi,originalFeatureId,shstReferenceId
7500,1,339da80fda10e8a3ddd10db2cea65b34
400,2,33f59fe7d8844538178ae2a4a749f9da
6400,3,fe00160776359a1f53761e9fb5eabc64
4000,4,1bfcbd6465099539d88bf8fc284ccb67
340,5,b47f5f7d0591bf5dfdef4a688695191b
2400,6,852554c6cb91351b08c743a6dc125153
3400,7,46c529a96a5eb3a33b0a99ef41ac8dd2
3800,8,31470aacd052dceff2e19d5e5b253117
2000,9,399c69f9cc8585206907fdcfcb825e59
830,10,1ca7debe16691cb8df99047a78f92031
150,11,0603bbf175e437aaef62a3631c3fc5d5
1600,12,a5583ed8a627b88031e684acab6e7fc6
3500,13,606ca133e885980bd662068ae8ac2809
380,14,d3fcd7b56abecbb9319b68c2bf1f008f
260,15,5a71da4e2aee5ee0d59fa7fc986b56a6
910,16,97d9c760c7ceeee322bbb97ced8feb85
420,17,67b9b65befaf671c4268b65152e6c149
800,18,bd6a9b4066539947e612385333fcc043
690,19,f1084ca640c0ec5e6eb90b66ab5409a7
5500,20,74bd3f3476f581d55e3f7c8f4dd05f14
1400,21,0b2fac482d228fb41b3949af54a6f415
2400,22,4f45d85958bf7a338ba1e38413f98834
2800,23,a1c458184b870f6a258bb8b61fccf7e6
1400,24,8ea9fa2bc4e827e7f76a56a676b3fccb
930,25,c5d16a497c82bb1ad4c2b17b51a7c89d
3800,26,b096e55198a1ece1bb7a6e365e504696
7800,27,2ad46c981bb7970266af2a427b6b8452
140,28,30eb373095bcb3ebd4e572eb3ab0d0fe
910,29,2f572beaef959b56b3e46957982d74c7
2800,30,a1e8ae42341e31582b303caa0c5628f1
5200,31,da1353736f794bbc88b86d6253583a17
8300,32,a9f54d1b3c23d396d50fb24c0a66fe22
10000,33,cf500a3a160f66dd3a7a1269ed60f585
3100,34,8db7f8e6a01276daefd69d7213b57d44
440,35,8d120dcbb301ed464ed618660b5a3913
50,36,b828cb5e672d6729f743becd76589d00
240,37,2a36b06c270a411c64291d979af5a6b0
8800,38,f53e33894d9958a723fde0d7e65fa2b5
6500,39,3317cae492965ba8f46651881199b299
