AADT_mn,originalFeatureId,shstReferenceId
480,1,c4a393ff2c9c619fddf53ceb0b2a5831
2400,2,affc8aee593cb6ab767e2d744dd1b911
260,3,18c0adacc18094bac4a69a7d97294d9f
4500,4,32b76526364ecd7716ae0371245d6bb0
3200,5,c430e5977fbc56700176e977cf4d6f0f
1000,6,da28147924877694eae5ffd394a51635
7700,7,6b6e8b81484b8474c28c4da4eaeb09b8
155,8,a900b96636f1dbd9a5b8fe7b07612362
2500,9,d0c0520e256422dc77fe3cb02cae8733
760,10,435e244d0ed7560982dfa12e712c61c1
210,11,30913674f267998d90c4845c04bdde7a
100,12,efb81686332947d7557f9774f6279f08
540,13,9a794a153730bdf9f62f1038b2610de6
520,14,14663a72620377adfbac4ce92f649120
425,15,0091e5dc81bceaa0021e8899163e5f86
145,16,021a718a32d66f1ba32fb908fd118d2e
1050,17,b3e16be98284656aba2d6d0e4380df9f
515,18,c6a581c47603dccd03906e5d80ab3f19
325,19,0065c2e0b30aa7e0433fdb0ace93e489
920,20,d365184e5667adc32c01459b9a186b8d
690,21,d5c7cfd6beb5795852adf5da803a394c
980,22,fd715f6289c9fabb591189ab2ab32121
550,23,07a65821c10cfcf6c81814d1c0011d2d
870,24,e93ec43fba933faf30b16c7d11634429
3550,25,052f0579436c596f5182690e04a7b424
8200,26,2cacb422d9e840dbf9ce5ea03cf22380
950,27,26eca84cd370cba9dbf129f6f20f4956
40,28,4537aae77afae8755849680849a2c471
560,29,597e86d02b9d319ad77cb090390c856f
325,30,5e39389751d86f391a1b3216f28a2ac0
180,31,f59308a1b94c503adff0b50421abb6ba
3300,32,0da68e6d5a0b3a45441c70795a218b42
240,33,68115c3a5dd9ea895048c1a36a3ce3a2
540,34,0c1f2c4a38e18ae5385ad332025ed9ae
1800,35,af8d4dcc4e403039958f549b71135f59
455,36,6adee73e58adc51b6f3af579c48212d8
2150,37,8779587516a99316a381e192a2d695b5
475,38,18c37d280606a8b2d77f4cd301469e80
1650,39,15075037088779a4a4bce7f17d01563b
315,40,dd33dcf617a9af6d339c2f147bd44edf
290,41,449e6393b75a04ea6dfebc40b4522b12
570,42,0e49fb7c9d674f02e8822f4a4ac66a0a
2500,43,73a2c93b99ad8ebe73ebd3922ada8acb
940,44,87197a06a5f8877ad2c13cdf87319e6d
19100,45,3e08f832a7c67053cacabb4d31c2cc31
2000,46,d336fc20c7c00978bcdac8408ba3b436
1400,47,bf4e17c989713b2b4f5f903c01da8d3b
1150,48,b7e3491964b5eb3d975fb92bf265abdf
790,49,8b5525e53ab90a6e51177b522c0f51e5
650,50,0b620140c95bb60f25ec4c0fe40596ac
10600,51,a022dbd817dccb96489a6f461fb075e8
1250,52,3fd708c0014a6f1c4689a3387663db56
6000,53,8c24e54b3625af33f0fb2bfa3302a56b
1450,54,9ce3daa8b43fb16ff8338bacb2793261
1950,55,e728538f736a4bab19a7e4f297533e8b
275,56,84df28d707f0561f82088c971e161eb9
2900,57,f8c76a5f8d517e306d7740f307da0fd7
7000,58,1e0e67323bdb1f18c222de369c7dfda4
1650,59,8985ff2e6052a96d13370547af3b2a7e
2100,60,71bdb6f6ff0664adeaabe1e51b575e12
7800,61,d711cd49d8624312ccad2181486093ac
8300,62,00aca258fb69d5420b0f7849606eb6a7
2950,63,cf1dfd7acc937e86bc4eed981f64e2b3
3300,64,6f31e67d03a11cab60c4f3d5848aca26
3000,65,c401b21d67248f59087ea2756bf3e7b5
710,66,d56260abed06dbc58635ccf518154092
1550,67,d4893701dc764f39d9b9cb181a1d8dda
