emme_name,wrangler_name
x,X
y,Y
@bike_node,bike_access
@drive_node,drive_access
@walk_node,walk_access
#node_county,county
#osm_node_id,osm_node_id
@rail_node,rail_only
@farezone,farezone
@stop_tap_id,tap_id
#link_id,model_link_id
@assignable,assignable
@bike_link,bike_access
@drive_link,drive_access
@walk_link,walk_access
@bus_only,bus_only
#link_county,link_county
length,distance
@ft,ft
@managed,managed
@rail_link,rail_only
@segment_id,segment_id
#shstgeometryid,shstGeometryId
@tollbooth,tollbooth
@tollseg,tollseg
@transit,transit
#cntype,cntype
@lanes_ea,lanes_EA
@lanes_am,lanes_AM
@lanes_md,lanes_MD
@lanes_pm,lanes_PM
@lanes_ev,lanes_EV
@useclass_ea,useclass_EA
@useclass_am,useclass_AM
@useclass_md,useclass_MD
@useclass_pm,useclass_PM
@useclass_ev,useclass_EV
