agency_raw_name,faresystem,route_id_original,route_id
ACE_2017_3_20,1,,
BART_2015_8_3,2,,
Caltrain_2015_5_13,3,,
Capitol_2017_3_20,4,,
RioVista_2015_8_20,5,,
SamTrans_2015_8_20,6,,
SonomaCounty_2015_8_18,7,,
GGTransit_2015_9_3,8,,
ACTransit_2015_8_14,9,,
Fairfield_2015_10_14,10,,
Blue&Gold_gtfs_10_4_2017,12,Angel Island,160
Blue&Gold_gtfs_10_4_2017,13,Sausalito,161
Blue&Gold_gtfs_10_4_2017,14,Tiburon,162
CCTA_2015_8_11,15,4,187
CCTA_2015_8_11,15,8,191
CCTA_2015_8_11,15,17_merged_381003104,0
CCTA_2015_8_11,15,29_merged_381003097,176
CCTA_2015_8_11,15,1,163
CCTA_2015_8_11,15,2,171
CCTA_2015_8_11,15,11_merged_381003098,165
CCTA_2015_8_11,15,31_merged_381003108,179
CCTA_2015_8_11,15,15_merged_381003102,169
CCTA_2015_8_11,15,7,190
CCTA_2015_8_11,15,10_merged_381003099,164
CCTA_2015_8_11,15,13_merged_381003100,167
CCTA_2015_8_11,15,5,188
CCTA_2015_8_11,15,9,192
CCTA_2015_8_11,15,12_merged_381003101,166
CCTA_2015_8_11,15,6,189
CCTA_2015_8_11,15,16_merged_381003105,170
CCTA_2015_8_11,15,3,177
CCTA_2015_8_11,15,14_merged_381003103,168
CCTA_2015_8_11,15,25_merged_381003089,172
CCTA_2015_8_11,15,26_merged_381003090,173
CCTA_2015_8_11,17,27_merged_381003091,174
CCTA_2015_8_11,17,30_merged_381003109,178
CCTA_2015_8_11,17,28_merged_381003096,175
CCTA_2015_8_11,16,33_merged_381003113,181
CCTA_2015_8_11,16,38,186
CCTA_2015_8_11,16,36_merged_381003110,184
CCTA_2015_8_11,16,34_merged_381003112,182
CCTA_2015_8_11,16,35_merged_381003111,183
CCTA_2015_8_11,16,37,185
CCTA_2015_8_11,16,32_merged_381003114,180
Emeryville_2016_10_26,18,,0
MarinTransit_2015_8_31,23,9,299
MarinTransit_2015_8_31,23,50,0
MarinTransit_2015_8_31,23,10,292
MarinTransit_2015_8_31,23,12,293
MarinTransit_2015_8_31,23,13,294
MarinTransit_2015_8_31,23,14,295
MarinTransit_2015_8_31,23,15,296
MarinTransit_2015_8_31,23,16,297
MarinTransit_2015_8_31,24,49,298
MVGo_2016_10_26,21,,0
petalumatransit-petaluma-ca-us__11_12_15,47,,0
SantaRosa_google_transit_08_28_15,33,,0
SFMTA_2015_8_11,25,10763,323
SFMTA_2015_8_11,25,1002,302
SFMTA_2015_8_11,25,1003,303
SFMTA_2015_8_11,25,1005,304
SFMTA_2015_8_11,25,1055,318
SFMTA_2015_8_11,25,1006,305
SFMTA_2015_8_11,25,10774,325
SFMTA_2015_8_11,25,1071,321
SFMTA_2015_8_11,25,1072,322
SFMTA_2015_8_11,25,1110,376
SFMTA_2015_8_11,25,1108,374
SFMTA_2015_8_11,25,1109,375
SFMTA_2015_8_11,25,1900,381
SFMTA_2015_8_11,25,1901,382
SFMTA_2015_8_11,25,1010,306
SFMTA_2015_8_11,25,1012,307
SFMTA_2015_8_11,25,10773,324
SFMTA_2015_8_11,25,10775,326
SFMTA_2015_8_11,25,10776,327
SFMTA_2015_8_11,25,10777,328
SFMTA_2015_8_11,25,10778,329
SFMTA_2015_8_11,25,10779,330
SFMTA_2015_8_11,25,10780,331
SFMTA_2015_8_11,25,10781,332
SFMTA_2015_8_11,25,10782,333
SFMTA_2015_8_11,25,1028,308
SFMTA_2015_8_11,25,1029,309
SFMTA_2015_8_11,25,10784,334
SFMTA_2015_8_11,25,1030,310
SFMTA_2015_8_11,25,1045,317
SFMTA_2015_8_11,25,10787,335
SFMTA_2015_8_11,25,10788,336
SFMTA_2015_8_11,25,10789,337
SFMTA_2015_8_11,25,10790,338
SFMTA_2015_8_11,25,10791,339
SFMTA_2015_8_11,25,10792,340
SFMTA_2015_8_11,25,10793,341
SFMTA_2015_8_11,25,10794,342
SFMTA_2015_8_11,25,10795,343
SFMTA_2015_8_11,25,10796,344
SFMTA_2015_8_11,25,10798,345
SFMTA_2015_8_11,25,10799,346
SFMTA_2015_8_11,25,10800,347
SFMTA_2015_8_11,25,10801,348
SFMTA_2015_8_11,25,10802,349
SFMTA_2015_8_11,25,10803,350
SFMTA_2015_8_11,25,10804,351
SFMTA_2015_8_11,25,10808,353
SFMTA_2015_8_11,25,10809,354
SFMTA_2015_8_11,25,10811,0
SFMTA_2015_8_11,25,1081,355
SFMTA_2015_8_11,25,1082,360
SFMTA_2015_8_11,25,10813,356
SFMTA_2015_8_11,25,10814,357
SFMTA_2015_8_11,25,10815,358
SFMTA_2015_8_11,25,10816,359
SFMTA_2015_8_11,25,1094,369
