shstReferenceId,PEMSID,ft,lanes
000619909cfedfdc3ae846759247e09f,"[404433, 407341]",Freeway,3
001faa1f8bf0fafb4298b7438a83b506,[400615],Freeway,3
00441ada4f77ea0e20dd17acd688e289,[404649],Freeway,3
005586c0c986e59d4dcd979513f7e8e6,"[401943, 402067, 403410, 403411, 403412]",Freeway,4
005a078054386cb7659bcbbdacf61c63,[400929],Freeway,5
00ff1d8493ea56e766bedbd47663cbb0,"[407358, 407359]",Freeway,1
01248bbf4c897c845921a9c93c8d609d,"[407328, 407329, 407330]",Freeway,3
0167c71940194a800e0c35023a9933c6,"[409722, 409723]",Freeway,3
018c32728b73695ac776d4181f35ecf6,[401134],Freeway,3
01a23a9cd090dd752fe36221a58a9b92,"[406606, 406605]",Freeway,4
01b68f4163dca71605b6736b14771562,[401592],Freeway,3
01bd71dec90941ffd0ba8a8b81d42e24,"[401913, 401649, 411575]",Freeway,4
01e1fac1a94909bfa0a325ca213dfbd6,"[403339, 403340, 403341, 403342, 403343]",Freeway,4
0204edb131501915070eae3798cd73be,[405046],Freeway,2
0224135286a3e460ba45946c21e3ce98,"[400754, 400577]",Freeway,4
02965cd6a4b8fea3a9834e65efd64d7d,[402391],Freeway,4
02b0be7186de823a19b1bbd0ae45ddec,[406562],Freeway,3
02c35da61673fc311c4b94217683b922,[404269],Freeway,4
02cc70b5e30b65cbb078e2d800854bed,"[402206, 405273, 414309, 414311]",Freeway,2
02eff7da4c5bb9442a83936632004b95,[401758],Freeway,2
0312663d6cb34795fc28290888130af9,[404629],Freeway,5
0321ddce9cc98ab88007331836b9ee88,"[408162, 408163, 408164]",Freeway,4
03a69752b397746b483939f6ae029ed7,[400738],Freeway,3
03e38609f0a7649f4208c49d2592cc8e,"[412065, 412066, 412069]",Freeway,0
03feb16ac644b3d618c633e9996a79c9,[409933],Freeway,2
04032712ab4eb219fe17d3038629b086,"[403405, 403406]",Freeway,5
0459d307126dbd9e70f67a56f612f218,[402596],Freeway,4
045e5a77d125a697ba50cc6b8768f8df,"[401474, 404534, 400388]",Freeway,5
04d4ef0de837e01712ad18aa356ecb79,"[408020, 401785]",Freeway,6
04dd18fe625b418696975f306bb2aa31,"[400965, 402877, 402880]",Freeway,4
05029675c0225b80a37278e13035dc9b,"[400410, 401880, 404431, 404432]",Freeway,3
0525f0f79ea98182a1242ff6ba9a6145,"[409666, 409667]",Freeway,3
05364c3f43b97bcaf0695f184dbdca62,[402041],Freeway,2
0544cd411ec040af76f415fbf7a6954c,"[401385, 403164]",Freeway,4
05b905bcc1908505f36e4e6919a7ce67,[400338],Freeway,4
05d6c8bc2092fab1632e87c71727762b,[414028],Freeway,3
05e2c8efdec030bf1e2a7a3cafb1e9c3,[401781],Freeway,4
05e9efa928325174af725f4ecb1bff40,"[402316, 402318, 409462, 410163, 410164, 410563]",Freeway,3
061874fa2e319e9508c5466b2feb5a6a,[400031],Freeway,4
063e8ee8aa84813a9e3b873ee4ba007a,"[409956, 409957, 409958]",Freeway,4
069f720ea3c4801f25f997f04e7c0817,[401579],Freeway,3
06f14e8719701f07120f3a10fcc50c74,[400861],Freeway,2
06f878916295cca752f7d63a62afc537,[400736],Freeway,4
0748bb7024259878d30ccbddf49603b7,[413028],Freeway,0
076d5128bd8970a7d51ffa2965750e32,"[402257, 402259]",Freeway,3
0775878f01bc7c63b1cd11325e82b78b,"[401038, 401073, 401614]",Freeway,4
077e30ea82054f8df8e82c236e577aee,[404370],Freeway,4
07c01a54ffc328e1ff290e91acd22e7e,"[405397, 405398]",Freeway,3
07c1815feab000de951dcf9b0e2062ec,"[400313, 401480, 407296, 407298]",Freeway,4
07fbfc45f7052c4655e5efbb1ce671e0,"[400363, 402950]",Freeway,4
08134d2cca3273f0704b53b7f6a2489c,"[402134, 402131]",Freeway,3
0857925213f8f49dcab09c65d1dbf102,"[400105, 403089, 403090]",Freeway,4
087e221162e741bb3bf5a508f48494a1,"[403242, 403243, 403245]",Freeway,4
08b3fc209af528c0aceaa74d61934006,"[400538, 407286, 407287, 407288]",Freeway,4
08d061f6cdcd4f02607399c66e91b5af,"[409668, 409669]",Freeway,3
090ea244d31d7dc6a40d68bcc9edc600,"[400418, 400654, 406822]",Freeway,2
09431086930f64097e8748a314428b2b,"[400203, 403074]",Freeway,4
095df28de94bcb0808f5871a3f068e2a,[414247],Freeway,3
0967cc37d084df1dcf9d72700731df9f,[404752],Freeway,4
096a0ec2b048d498b014badfa996b804,[413376],Freeway,4
0982eab09a68fb3793dd078cd3e6cce8,[404603],Freeway,5
09c8e6efcd72d6c6b22bc44147fae2e7,"[404361, 404360]",Freeway,5
0a156241983e4c8b817b1d773b8f6c1e,"[401509, 400329, 407260]",Freeway,4
0a3c4db5ea8e12371dbff7c0f1d343fd,"[401395, 401673, 403277, 403306]",Freeway,4
0a7cf468f15581227802a5e1c61e21b9,[404298],Freeway,4
0a9859448e078a5bc2df5a32a1a539ad,"[400792, 400934]",Freeway,3
0b005e102f5f47bd9f9fa735864d8500,"[402763, 402769]",Freeway,2
0b01149718a894b651c9b6fcc83f2955,"[413390, 413391]",Freeway,4
0b1d05865a11f3fede12a617103ac595,"[401253, 405763, 407279]",Freeway,4
0b474d6d90110718a7c508596c3b2da0,"[402603, 402747]",Freeway,2
0b478ada513cbfff2706acfd4f520f7c,[400953],Freeway,4
0b612c4cb50bc65e9357b837cd2d84b3,"[400178, 409131]",Freeway,2
0b949f5f294e3cad382687858a03b8f1,"[409100, 409101, 409102]",Freeway,3
0baa849be9b3ddcf370f836a8f2176fa,[404363],Freeway,3
0bf70753e1f750b9705b5595eabb5bbb,"[403257, 403255]",Freeway,4
0bfcac88b4dc0c45bf8a2677c9a3709b,"[400276, 403062, 413262]",Freeway,3
0c2722f61be561141951517eddc3645d,[409868],Freeway,2
0c9118220dc07cc586a8db9e1ef680fa,"[400381, 403294]",Freeway,4
0c95b5edb4efa755ad0e5fad2d1408fe,"[400026, 401452, 403134, 402858]",Freeway,4
0cc701d796c0759f2aad3d03ece55c9c,"[402837, 414031]",Freeway,3
0d5c419a8887293d4eb5e52a375a2ff5,[402204],Freeway,4
0d80d81849bfcf69ac9ab09f78bcf4ac,[409226],Freeway,0
0d8c887287af1b1b2605dfc706c7f2fb,[402754],Freeway,2
0d9f2890161f6c83c31d3e3040a8fe14,"[400800, 401683]",Freeway,5
0e02435a83959b5ec5ca49b0bc37a4af,[406609],Freeway,7
0e2e0def80947f03091c82048126008f,"[406687, 406688, 406689]",Freeway,3
0ea276a00997f1ff4522759aaa6b1e11,"[400540, 405843, 405844, 406296]",Freeway,5
0eadd5ad07880f5af5414e6c5ef07cc0,[402129],Freeway,3
0ed3487327fc62837bf87b1ec43de15d,"[403320, 404245, 404247]",Freeway,4
0f0802f52b6b8e9b759e27e49694e0c9,[408602],Freeway,4
0f168798e8ea24ca5dc330b4ac5c2f50,"[401015, 403093]",Freeway,4
0f44c10881a147093ce6bd0e97e5323e,"[402121, 402282, 413041]",Freeway,4
0f4c842efb31aef52000b7af29bdf833,[404265],Freeway,4
0f79fc9952c739cc0499cad8aece51ef,[404648],Freeway,4
0f9e6fd1655a9f0c76df2ac39be990a8,"[403327, 404255]",Freeway,4
0fa1835adfeab0e462025b4fc927b390,"[400764, 405269, 406635, 406636]",Freeway,4
0fe0ce06a72fffc3f1eb0125393c9c17,[400567],Freeway,4
0fe6341e20240d4091831de1ddd5778a,[404573],Freeway,5
1027e6c1a74f5b2e8a91e68644dff57a,[402281],Freeway,3
10477b947616a3014c124be492bf622f,[402418],Freeway,5
109008f26f2ae94e05fefd857138ddc9,"[401597, 404452]",Freeway,3
