Zone,Station_Name,Station_Type,Park_Type,X,Y,Parking_Cap,PNR_Walk,PNR_IVT,Runtime,Headway,Num_Veh,Vehicle_Cap,Speed,Distance,PNR_impedence,Fare_System
1,Dublin/Pleasanton_BART,H,P ,4923342.71,3700892.65,2886,201,59,3.35,2,120,25,0.36,1.675,3,96
2,West Dublin/Plesanton_BART,H,P,4914922.36,3700685.19,1190,119,84,1.983333333,3,80,15,0.61,0.991666667,3,96
3,BayFair_BART,H,P,4857362.93,3702843.66,1665,86,28,1.433333333,1,240,7,0.84,0.716666667,3,96
4,Castro Valley_BART,H,P,4871971.71,3699749.76,1118,120,33,2,2,120,10,0.6,1,3,96
5,San Leandro_BART,H,P,4847979.49,3712445.79,1268,24,30,0.4,1,240,6,3,0.2,3,96
6,Coliseum_BART,H,P,4838184.16,3724635.43,954,110,22,1.833333333,1,240,4,0.65,0.916666667,3,96
7,Pittsburg/Bay Point_BART,H,P,4916322.6,3817272.18,2035,231,61,3.85,3,80,26,0.31,1.925,3,96
8,North Concord/Martinez_BART,H,P,4893055.72,3812812.43,1980,159,77,2.65,3,80,25,0.45,1.325,3,96
9,Concord_BART,H,P,4891131.76,3802011.95,2358,79,23,1.316666667,1,240,10,0.91,0.658333334,3,96
10,Pleasant Hill_BART,H,P,4882504.44,3786043.45,2937,121,59,2.016666667,2,120,25,0.6,1.008333334,3,96
11,Richmond_BART,H,P,4796826.12,3794010.69,750,188,42,3.133333333,2,120,7,0.38,1.566666667,3,96
12,El Cerrito del Norte_BART,H,P,4807050.46,3789151.79,2176,81,26,1.35,1,240,10,0.89,0.675,3,96
13,El Cerrito Plaza_BART,H,P,4811761.05,3780619.66,750,97,13,1.616666667,1,240,4,0.74,0.808333334,3,96
14,North Berkeley_BART,H,P,4815621.7,3769908.08,795,52,20,0.866666667,1,240,4,1.38,0.433333334,3,96
15,Ashby_BART,H,P,4819086.26,3762068.64,603,112,26,1.866666667,1,240,3,0.64,0.933333334,3,96
16,Fremont_BART,H,P,4897983,3649539.57,2141,93,25,1.55,1,240,9,0.77,0.775,3,96
17,Union City_BART,H,P,4886876.57,3662332.21,1144,104,22,1.733333333,1,240,5,0.69,0.866666667,3,96
18,South Hayward_BART,H,P,4876175.21,3678881.03,1079,233,21,3.883333333,1,240,5,0.31,1.941666667,3,96
19,MacArthur_BART,H,P,4819397.26,3753219.95,475,297,60,4.95,2,120,4,0.24,2.475,3,96
20,Rockridge_BART,H,P,4824302.06,3758721.23,892,101,22,1.683333333,1,240,4,0.71,0.841666667,3,96
21,Orinda_BART,H,P,4844566.59,3769878.98,1361,135,34,2.25,2,120,12,0.53,1.125,3,96
22,Lafayette_BART,H,P,4861915.92,3774282.55,1528,132,13,2.2,1,240,7,0.55,1.1,3,96
23,Walnut Creek_BART,H,P,4878760.67,3777951.35,2093,109,49,1.816666667,2,120,18,0.66,0.908333334,3,96
24,Hayward_BART,H,P,4868262.32,3692255.25,1449,93,30,1.55,1,240,7,0.77,0.775,3,96
25,Fruitvale_BART,H,P,4830714.68,3732855.12,873,100,20,1.666666667,1,240,4,0.72,0.833333334,3,96
26,Lake Merritt_BART,H,P,4819098.72,3741735.64,218,90,22,1.5,1,240,1,0.8,0.75,3,96
27,West Oakland_BART,H,P,4810776.04,3744910.69,441,53,19,0.883333333,1,240,2,1.36,0.441666667,12.4,97
28,Glen Park_BART,H,P,4769024.93,3721113.89,56,87,12,1.45,1,240,1,0.83,0.725,3,96
29,Daly City_BART,H,P,4758371.8,3712012.78,2059,149,33,2.483333333,2,120,18,0.48,1.241666667,3,96
30,Colma_BART,H,P,4758666.7,3704048.62,1770,40,60,0.666666667,2,120,15,1.8,0.333333334,3,96
31,South San Francisco_BART,H,P,4764698.76,3696228.07,1379,76,27,1.266666667,1,240,6,0.95,0.633333334,3,96
32,San Bruno_BART,H,P,4772170.16,3686006.51,1058,134,45,2.233333333,2,120,9,0.54,1.116666667,3,96
33,Millbrae_BART,H,P,4779933.27,3671841.82,2978,65,60,1.083333333,2,120,25,1.11,0.541666667,3,96
34,Millbrae_Caltrain,C,P,4779933.27,3671841.82,189,173,16,2.883333333,1,240,1,0.42,1.441666667,5.5,98
35,San Bruno_Caltrain,C,P,4774094.73,3681245.68,201,114,27,1.9,1,240,1,0.63,0.95,5.5,98
36,South San Francisco_Caltrain,C,P,4775478.94,3692199.23,32,48,48,0.8,2,120,1,1.5,0.4,5.5,98
37,Bayshore_Caltrain,C,P,4777980.89,3712621.84,38,0,0,0,1,240,1,0.01,0,5.5,98
38,Gilroy_Caltrain,C,P,5006538.9,3442039.55,460,96,20,1.6,1,240,2,0.75,0.8,5.5,98
39,San Martin_Caltrain,C,P,4995513.53,3471706.21,159,74,27,1.233333333,1,240,1,0.97,0.616666667,5.5,98
40,Morgan Hill_Caltrain,C,P,4983890.89,3489327.98,551,64,18,1.066666667,1,240,3,1.13,0.533333334,5.5,98
41,Blossom Hill_Caltrain,C,P,4944035.96,3535458.96,425,109,18,1.816666667,1,240,2,0.66,0.908333334,5.5,98
42,Capitol_Caltrain,C,P,4931711.34,3547691.9,379,106,14,1.766666667,1,240,2,0.68,0.883333334,5.5,98
43,Tamien_Caltrain,C,P,4920303.62,3557986.04,302,80,34,1.333333333,2,120,3,0.9,0.666666667,5.5,98
44,San Jose Diridon_Caltrain,C,P,4915104.5,3565152.06,669,187,24,3.116666667,1,240,3,0.39,1.558333334,5.5,98
