shstReferenceId,A_node,B_node,lanes_am,lanes_md,lanes_pm,name,min_lanes,max_lanes,osm_sfcta_names_dist
00008f3db470b7993ed7efe3fdbbe371,27834,27832,1,1,1,29TH,1,1,0
000135f06e99cfa717aac0daeb35ca1e,20766,20764,1,1,1,ELMIRA,1,1,0
00040e43e020b2d01c78443b2dd421ac,27153,27156,2,2,3,LINCOLN,2,3,0
000436c66cd025d0882221e1802db32d,21255,21258,1,1,1,HIGHLAND,1,1,7
000c52714d350c96e2909c3daa4b9013,21897,33362,2,2,2,CESAR CHAVEZ,2,2,0
000c741407274a4874492134c4968559,21129,21130,1,1,1,MONTCALM,1,1,0
00118db87b125b1f42e43b1e2dda430c,24883,52734,2,2,1,MISSION,1,2,0
001362eb8c1bec76a24fb235bdd7eeb0,24214,24049,1,1,1,FLORIDA,1,1,0
00206798a5dcd8ad8bd40180c939f583,27474,27477,2,2,2,BALBOA,2,2,0
0022cfc802b2b437bfd305f4bf023973,21220,21219,1,1,1,BENNINGTON,1,1,0
0024bdb1ecb5fd4c3043aa3b0a133dce,33705,52078,1,1,1,STATE,1,1,0
0025a18e80e3a321a06e9efc988cd4fa,26038,26039,4,4,4,FELL,4,4,0
0026f0cdd440443c5fe79eaef935b6a7,24494,50034,1,1,1,1ST,1,1,100
002b3320e7ff9ff73ef7efca939e8b54,26703,26704,1,1,1,POLK,1,1,0
002f3f7c5fbd5c31ccac396211c4f0db,27793,32844,1,1,1,CHAIN OF LAKES,1,1,5
0030fb93d14614e3cf1f5fde77f901cc,25956,25967,2,2,2,WEBSTER,2,2,0
0038baff429e2ddf3a522e32ce6116cb,25864,25887,1,1,1,HERMANN,1,1,0
0039848260c84b827584f23a302982a5,26774,26775,1,1,1,TOLEDO,1,1,0
003b117e22d76cba3ca20d2396173305,20357,20356,1,1,1,RUTLAND,1,1,0
003b2145aca681088aadfa94ea7314ee,27660,27654,1,1,1,24TH,1,1,0
003b5bffd65502831b22bf51ffd5dda5,21740,32971,2,2,2,ALEMANY,2,2,0
003b851f0e0e0dd33e86ae12be18b0dc,23364,23367,1,1,1,WAWONA,1,1,0
003b956d827cdd542a02dc6394386fd4,27552,27834,1,1,1,ANZA,1,1,0
003c1afeb2e32af75d318f4e9f6ddff8,25060,25321,3,2,2,BROADWAY,2,3,0
003d98e9d1fbcdd2b1e3b4204289fa44,22185,22199,1,1,1,HOWTH,1,1,0
003f6b3990369493bf7a79cea631a86d,24373,24379,2,2,2,14TH,2,2,0
00418d0d1223411e5bd3de4bcb96be57,21732,21475,1,1,1,LONDON,1,1,0
00426e22c41e2b31341cedc9ad22f3cc,27430,27408,1,1,1,29TH,1,1,0
