VEHTYPE,100%Capacity,85%Capacity,seatcap,vehtype_num,veh_mode,auto_equivalent
10 Car BART,1110,943,550,1,h,2.5
10 Car BART RENOVATED,1120,952,550,2,h,2.5
5 Car BART,555,471,275,3,h,2.5
5 Car BART RENOVATED,473,402,275,4,h,2.5
6 Car Valley Link,640,544,280,5,h,2.5
7 Car BART,777,660,385,6,h,2.5
7 Car BART RENOVATED,784,666,385,7,h,2.5
8 Car BART,888,754,550,8,h,2.5
8 Car BART RENOVATED,900,765,550,9,h,2.5
8.5 Car BART,943,801,468,10,h,2.5
8.5 Car BART RENOVATED,952,809,468,11,h,2.5
9 Car BART,999,849,495,12,h,2.5
9 Car BART RENOVATED,1008,856,495,13,h,2.5
AC Plus Bus,70,59,57,14,x,2.5
AC Plus Bus TI,70,59,57,15,x,2.5
AC Standard Bus,63,53,37,16,x,2.5
Brentwood BRT,40,34,37,17,x,2.5
Cable Car,63,53,29,18,r,2.5
Caltrain,1444,1227,681,19,r,2.5
Caltrain PCBB,1841,1564,681,20,r,2.5
Caltrain PCBB 7 car,1611,1369,662,21,r,2.5
Caltrain PCEP,1502,1276,681,22,r,2.5
Dumbarton GRT,28,23,8,23,x,2.5
Ferry,400,340,400,24,f,2.5
Ferry GGT,450,382,450,25,f,2.5
Ferry Treasure Island,80,68,80,26,f,2.5
Ferry Vallejo,275,233,275,27,f,2.5
Ferry small,250,212,250,28,f,2.5
HSR,450,382,450,29,r,2.5
Hovercraft_Pilot,30,25,30,30,f,2.5
LRV1,119,101,60,31,l,2.5
LRV2,238,202,120,32,l,2.5
LRV2.5,298,253,150,33,l,2.5
LRV3,357,303,180,34,l,2.5
LRV4,476,404,240,35,l,2.5
Motor Articulated Bus,94,79,56,36,b,2.5
Motor Articulated Bus Express,94,79,56,37,x,2.5
Motor Articulated Bus ALLDOOR,94,79,56,38,b,2.5
Motor Articulated Bus ALLDOOR LOWFLOOR,94,79,56,39,b,2.5
Motor Bus Mix of Standard and Artics,80,68,48,40,b,2.5
Motor Bus Mix of Standard and Artics Express,80,68,48,41,x,2.5
Motor Bus Mix of Standard and Artics ALLDOOR,80,68,48,42,b,2.5
Motor Bus Mix of Standard and Artics ALLDOOR LOWFLOOR,80,68,48,43,b,2.5
Motor Bus Mix of Standard and Artics ALL,80,68,48,44,b,2.5
Motor Small Bus,45,38,25,45,b,2.5
Motor Small Bus ALLDOOR,45,38,25,46,b,2.5
Motor Small Bus ALLDOOR LOWFLOOR,45,38,25,47,b,2.5
Motor Standard Bus,63,53,39,48,b,2.5
Motor Standard Bus Express,63,53,39,49,x,2.5
Motor Standard Bus ALLDOOR,63,53,39,50,b,2.5
Motor Standard Bus ALLDOOR LOWFLOOR,63,53,39,51,b,2.5
NTRC 7 Car,900,765,667,52,b,2.5
OAC,89,75,76,53,b,2.5
SMART 2 car,318,270,158,54,b,2.5
SamTrans Plus Bus,75,63,57,55,b,2.5
SamTrans Plus Bus Express,75,63,57,56,x,2.5
SamTrans Standard Bus,60,51,40,57,b,2.5
Streetcar,70,59,30,58,l,2.5
Trolley Articulated Bus,94,79,56,59,b,2.5
Trolley Articulated Bus ALLDOOR,94,79,56,60,b,2.5
Trolley Articulated Bus ALLDOOR LOWFLOOR,94,79,56,61,b,2.5
Trolley Standard Bus,63,53,39,62,b,2.5
Trolley Standard Bus ALLDOOR,63,53,39,63,b,2.5
Trolley Standard Bus ALLDOOR LOWFLOOR,63,53,39,64,b,2.5
Unknown Train,800,680,800,65,r,2.5
VTA LRT1,171,145,66,66,l,2.5
VTA LRT2,342,290,132,67,l,2.5
VTA LRT3,513,436,198,68,l,2.5
Van,25,21,18,69,b,2.5
VanTI,28,23,18,70,b,2.5
eBart 1 car,200,170,104,71,h,2.5
eBart 2 car,400,340,208,72,h,2.5
